iteration,human feature,trajectory feature,feature norm,weights,human likeness,mean human likeness,likelihood
67,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08424905  0.03370154 -0.06986098 ...  0.02018295  0.10232353
  0.03066314]",[0 0 0 0 0],0.0,0.0
68,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08408055  0.03363413 -0.06972125 ...  0.02014258  0.10211889
  0.03060182]",[0 0 0 0 0],0.0,2.2204460492503132e-17
69,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08391239  0.03356687 -0.06958181 ...  0.0201023   0.10191465
  0.03054061]",[0 0 0 0 0],0.0,0.0
70,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08374457  0.03349973 -0.06944265 ...  0.02006209  0.10171082
  0.03047953]",[0 0 0 0 0],0.0,2.2204460492503132e-17
71,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08357708  0.03343273 -0.06930376 ...  0.02002197  0.1015074
  0.03041857]",[0 0 0 0 0],0.0,0.0
72,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08340993  0.03336587 -0.06916516 ...  0.01998193  0.10130438
  0.03035773]",[0 0 0 0 0],0.0,0.0
73,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08324311  0.03329914 -0.06902683 ...  0.01994196  0.10110177
  0.03029702]",[0 0 0 0 0],0.0,-2.2204460492503132e-17
74,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08307662  0.03323254 -0.06888877 ...  0.01990208  0.10089957
  0.03023642]",[0 0 0 0 0],0.0,2.2204460492503132e-17
75,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08291047  0.03316607 -0.06875099 ...  0.01986227  0.10069777
  0.03017595]",[0 0 0 0 0],0.0,-2.2204460492503132e-17
76,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08274465  0.03309974 -0.06861349 ...  0.01982255  0.10049637
  0.0301156 ]",[0 0 0 0 0],0.0,0.0
77,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08257916  0.03303354 -0.06847627 ...  0.0197829   0.10029538
  0.03005537]",[0 0 0 0 0],0.0,-2.2204460492503132e-17
78,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.082414    0.03296747 -0.06833931 ...  0.01974334  0.10009479
  0.02999526]",[0 0 0 0 0],0.0,0.0
79,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08224917  0.03290154 -0.06820263 ...  0.01970385  0.0998946
  0.02993527]",[0 0 0 0 0],0.0,-2.2204460492503132e-17
80,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08208467  0.03283574 -0.06806623 ...  0.01966444  0.09969481
  0.0298754 ]",[0 0 0 0 0],0.0,0.0
81,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.0819205   0.03277006 -0.0679301  ...  0.01962511  0.09949542
  0.02981565]",[0 0 0 0 0],0.0,0.0
82,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08175666  0.03270452 -0.06779424 ...  0.01958586  0.09929643
  0.02975601]",[0 0 0 0 0],0.0,-2.2204460492503132e-17
83,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08159315  0.03263911 -0.06765865 ...  0.01954669  0.09909784
  0.0296965 ]",[0 0 0 0 0],0.0,0.0
84,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08142996  0.03257384 -0.06752333 ...  0.0195076   0.09889964
  0.02963711]",[0 0 0 0 0],0.0,0.0
85,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.0812671   0.03250869 -0.06738828 ...  0.01946858  0.09870184
  0.02957784]",[0 0 0 0 0],0.0,0.0
86,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08110457  0.03244367 -0.06725351 ...  0.01942965  0.09850444
  0.02951868]",[0 0 0 0 0],0.0,-2.2204460492503132e-17
87,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08094236  0.03237878 -0.067119   ...  0.01939079  0.09830743
  0.02945964]",[0 0 0 0 0],0.0,0.0
88,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08078047  0.03231403 -0.06698476 ...  0.01935201  0.09811082
  0.02940072]",[0 0 0 0 0],0.0,2.2204460492503132e-17
89,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08061891  0.0322494  -0.06685079 ...  0.0193133   0.0979146
  0.02934192]",[0 0 0 0 0],0.0,0.0
90,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08045767  0.0321849  -0.06671709 ...  0.01927468  0.09771877
  0.02928324]",[0 0 0 0 0],0.0,2.2204460492503132e-17
91,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08029676  0.03212053 -0.06658366 ...  0.01923613  0.09752333
  0.02922467]",[0 0 0 0 0],0.0,0.0
92,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08013617  0.03205629 -0.06645049 ...  0.01919765  0.09732828
  0.02916622]",[0 0 0 0 0],0.0,0.0
93,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.07997589  0.03199218 -0.06631759 ...  0.01915926  0.09713363
  0.02910789]",[0 0 0 0 0],0.0,0.0
94,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.07981594  0.03192819 -0.06618495 ...  0.01912094  0.09693936
  0.02904967]",[0 0 0 0 0],0.0,2.2204460492503132e-17
95,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.07965631  0.03186434 -0.06605258 ...  0.0190827   0.09674548
  0.02899157]",[0 0 0 0 0],0.0,0.0
96,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.079497    0.03180061 -0.06592048 ...  0.01904453  0.09655199
  0.02893359]",[0 0 0 0 0],0.0,-2.2204460492503132e-17
97,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.079338    0.03173701 -0.06578864 ...  0.01900644  0.09635888
  0.02887572]",[0 0 0 0 0],0.0,0.0
98,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.07917933  0.03167353 -0.06565706 ...  0.01896843  0.09616617
  0.02881797]",[0 0 0 0 0],0.0,2.2204460492503132e-17
99,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.07902097  0.03161018 -0.06552575 ...  0.01893049  0.09597383
  0.02876034]",[0 0 0 0 0],0.0,0.0
100,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.07886293  0.03154696 -0.06539469 ...  0.01889263  0.09578189
  0.02870282]",[0 0 0 0 0],0.0,0.0
