iteration,human feature,trajectory feature,feature norm,weights,human likeness,mean human likeness,likelihood
17,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09311893  0.03724969 -0.07721605 ...  0.02230784  0.11309632
  0.03389141]",[0 0 0 0 0],0.0,0.0
18,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09293269  0.03717519 -0.07706162 ...  0.02226323  0.11287012
  0.03382362]",[0 0 0 0 0],0.0,0.0
19,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09274682  0.03710084 -0.0769075  ...  0.0222187   0.11264438
  0.03375598]",[0 0 0 0 0],0.0,0.0
20,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09256133  0.03702664 -0.07675368 ...  0.02217426  0.11241909
  0.03368846]",[0 0 0 0 0],0.0,0.0
21,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09237621  0.03695258 -0.07660017 ...  0.02212991  0.11219426
  0.03362109]",[0 0 0 0 0],0.0,0.0
22,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09219145  0.03687868 -0.07644697 ...  0.02208565  0.11196987
  0.03355384]",[0 0 0 0 0],0.0,0.0
23,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09200707  0.03680492 -0.07629408 ...  0.02204148  0.11174593
  0.03348674]",[0 0 0 0 0],0.0,0.0
24,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09182306  0.03673131 -0.07614149 ...  0.0219974   0.11152244
  0.03341976]",[0 0 0 0 0],0.0,0.0
25,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09163941  0.03665785 -0.07598921 ...  0.0219534   0.11129939
  0.03335292]",[0 0 0 0 0],0.0,0.0
26,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09145613  0.03658453 -0.07583723 ...  0.0219095   0.11107679
  0.03328622]",[0 0 0 0 0],0.0,0.0
27,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09127322  0.03651136 -0.07568556 ...  0.02186568  0.11085464
  0.03321965]",[0 0 0 0 0],0.0,2.2204460492503132e-17
28,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09109067  0.03643834 -0.07553418 ...  0.02182195  0.11063293
  0.03315321]",[0 0 0 0 0],0.0,0.0
29,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09090849  0.03636546 -0.07538312 ...  0.0217783   0.11041166
  0.0330869 ]",[0 0 0 0 0],0.0,0.0
30,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09072668  0.03629273 -0.07523235 ...  0.02173475  0.11019084
  0.03302073]",[0 0 0 0 0],0.0,2.2204460492503132e-17
31,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09054522  0.03622015 -0.07508188 ...  0.02169128  0.10997046
  0.03295468]",[0 0 0 0 0],0.0,-2.2204460492503132e-17
32,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09036413  0.03614771 -0.07493172 ...  0.0216479   0.10975052
  0.03288878]",[0 0 0 0 0],0.0,-2.2204460492503132e-17
33,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.0901834   0.03607541 -0.07478186 ...  0.0216046   0.10953102
  0.032823  ]",[0 0 0 0 0],0.0,-2.2204460492503132e-17
34,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09000304  0.03600326 -0.07463229 ...  0.02156139  0.10931196
  0.03275735]",[0 0 0 0 0],0.0,0.0
35,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.08982303  0.03593126 -0.07448303 ...  0.02151827  0.10909333
  0.03269184]",[0 0 0 0 0],0.0,-2.2204460492503132e-17
